,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
379,379,Pre-Medicine,Bachelors,"$50,800","$86,800",67%
380,379,Speech & Drama,Bachelors,"$37,500","$86,800",-
381,379,Toxicology,Bachelors,"$44,600","$86,800",-
382,383,Advertising & Marketing,Bachelors,"$49,000","$86,700",38%
383,383,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,"$54,000","$86,700",57%
384,383,Marketing & Mass Communications,Bachelors,"$45,400","$86,700",41%
385,383,Welding Technology,Bachelors,"$48,400","$86,700",-
386,387,General Business,Bachelors,"$50,200","$86,600",51%
387,388,Construction Engineering Technology,Bachelors,"$55,800","$86,400",53%
388,388,Architectural Studies,Bachelors,"$45,400","$86,400",42%
389,390,Aviation Maintenance Technology,Bachelors,"$51,000","$86,300",60%
390,391,Communication Studies & Journalism,Bachelors,"$44,800","$86,200",47%
391,391,Management,Bachelors,"$51,600","$86,200",48%
392,393,General Science,Bachelors,"$49,100","$86,100",60%
393,393,Magazine Journalism,Bachelors,"$46,800","$86,100",32%
394,395,Electronics & Computer Technology,Bachelors,"$55,600","$86,000",-
395,395,Theatre & Drama Studies,Bachelors,"$44,800","$86,000",49%
396,397,Animation,Bachelors,"$45,000","$85,900",35%
397,397,Biology & Chemistry,Bachelors,"$49,200","$85,900",66%
398,397,Diagnostic Medical Ultrasound,Bachelors,"$67,700","$85,900",67%
399,397,History & Politics,Bachelors,"$49,500","$85,900",51%
400,397,Public Affairs,Bachelors,"$52,700","$85,900",50%
401,397,Romance Languages,Bachelors,"$53,000","$85,900",53%
402,397,Physiology,Bachelors,"$49,300","$85,900",63%
403,404,Corporate Communications,Bachelors,"$48,500","$85,700",42%
404,404,International Affairs,Bachelors,"$51,600","$85,700",52%
405,404,Nursing Science,Bachelors,"$66,800","$85,700",84%
406,404,Organizational Development,Bachelors,"$53,800","$85,700",54%
407,404,Textile & Apparel Studies,Bachelors,"$47,100","$85,700",30%
408,409,Business Administration,Bachelors,"$52,800","$85,600",50%
409,409,Business Administration & Accounting,Bachelors,"$52,400","$85,600",55%
410,409,Philosophy & Religion,Bachelors,"$43,800","$85,600",55%
411,412,Architectural Design,Bachelors,"$47,700","$85,400",60%
412,413,Textile Design,Bachelors,"$50,000","$85,200",43%
413,413,Interpersonal & Organizational Communication,Bachelors,"$42,400","$85,200",56%
414,415,Geographic Information Systems (GIS),Bachelors,"$50,000","$85,100",52%
415,416,Business Management,Bachelors,"$51,700","$85,000",51%
416,417,Linguistics,Bachelors,"$52,100","$84,900",43%
417,418,French Language,Bachelors,"$49,600","$84,800",47%
418,419,Communication,Bachelors,"$48,000","$84,700",45%
419,419,Neuroscience,Bachelors,"$51,800","$84,700",58%
